Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
02:45:35,13313329.727,528366.571,0.0,31626082.5,78754637.5,287985291598738.4,283889730363426.5,293300546864563.5,225363865860412.2,98905103492040.98,211467926324960.0,24196128792976.754,24338743296.333,8806558208.0,6856348.652,0.0,41130716.0,169803.0,6584203.429,0.0,66996230.0,19132.0,72958196.762
02:55:28,33528908.545,1770493.286,0.0,107439421.1,267538800.75,569830858424065.1,565506600871885.0,575261475268713.2,450553890290261.2,199866056832346.34,422593696789158.75,42165251766881.25,82972616977.0,8821944832.0,13686907.13,1.5223041225876815e+18,97353629.333,170549.667,21750121.571,0.0,66996230.0,26641.0,164667534.0
02:55:36,13386718.818,536934.0,0.0,32137234.1,80027457.0,288167000611822.2,283956989570250.5,293641141853502.75,225369021709387.4,99019525368166.5,211478091184721.5,24380245421290.5,25706232761.0,8807088384.0,6897164.522,0.0,41554501.667,170152.867,6707503.0,0.0,66996230.0,19135.0,73509148.952
03:05:28,33589257.091,1779062.143,0.0,107957937.9,268830162.75,570033465179137.4,565582903606628.0,575619412122495.8,450559701387234.6,199964770567416.0,422605111810786.5,42373613146035.51,82997728081.667,8822148352.0,13721392.957,1.5223041225876815e+18,97655166.667,170549.667,21839985.0,0.0,66996230.0,26606.0,165183464.524
03:05:36,13463079.636,545501.714,0.0,32653958.1,81314135.25,288353720533825.94,284026418130891.0,293985168125241.0,225374315647873.6,99130024326826.34,211488514703835.25,24570130583972.246,25729897624.667,8806844928.0,6935787.391,0.0,42072695.667,170152.867,6822507.429,0.0,66996230.0,19148.0,74098265.0
03:15:28,33652220.0,1787630.0,0.0,108484837.3,270142215.5,570221362349114.2,565653202443988.0,575964509936440.0,450565028579977.0,200074875882395.84,422615560049797.25,42565754116834.49,83021504141.667,8822117376.0,13764884.478,1.5223041225876815e+18,98025507.0,170549.667,21954422.429,0.0,66996230.0,26654.0,165741485.381
03:15:36,13536463.545,554069.714,0.0,33183521.9,82632743.0,288547719129162.44,284097721610276.0,294334918597930.0,225379782386566.8,99236855342401.5,211499270423949.0,24765466312779.5,25754202953.333,8806959872.0,6972171.174,0.0,42650361.0,170152.867,6925771.857,0.0,66996230.0,19132.0,74769834.571
03:25:28,33717786.636,1796199.286,0.0,109009818.9,271449530.0,570422015182447.1,565727755131335.0,576319679566043.0,450570740733909.4,200176112190748.84,422626758974972.06,42769604255929.25,84390709506.0,8822165760.0,13821304.696,1.5223041225876815e+18,98330962.0,170549.667,22047610.0,0.0,66996230.0,26609.0,166302139.952
03:25:36,13625495.091,562638.714,0.0,33717119.5,83961268.5,288748548744350.6,284172537987718.25,294689595567564.25,225385449958616.4,99340186108500.34,211510427891546.75,24969924195669.0,25779121925.667,8807268352.0,7008815.913,0.0,43209083.333,170152.867,7019239.143,0.0,66996230.0,19119.0,75470437.286
03:35:28,33782231.091,1804766.857,0.0,109536342.5,272760654.25,570606338155942.9,565796445030194.5,576661999478260.2,450575973396018.0,200288720474729.0,422637022676586.75,42957451794201.25,84414157183.333,8822055936.0,13848859.957,1.5223041225876815e+18,98651914.333,170549.667,22167068.857,0.0,66996230.0,26622.0,166837437.286
