Stat,Schema,08:33:48,08:43:49,08:53:49,09:03:49,09:13:49,09:23:49,09:33:49,09:43:49,09:53:49,10:03:50,10:13:50,10:23:50,10:33:50,10:43:50,10:53:50,11:03:50,11:13:50,11:23:50,11:33:50,11:43:50,11:53:50,12:03:51,12:13:51,12:23:51,12:33:51,12:43:51,12:53:04
ib,VL15_dropped,12892,18,12892,0,0,0,104019848,19156992,0,756,73441,342072,0,0,0,0,0,885463,504769,0,15434,0,6641,0,53,732,0
intel_hsw_imc,CAS_READS,1531840,0,99957,0,0,3759,0,476,0,0,282,104,0,35,0,0,0,72,628592,0,144647,0,53235712,0,0,0,0
intel_hsw_imc,CAS_WRITES,1531536,0,0,0,0,39174,0,0,1089,2,0,864,0,0,726735,0,0,23188,68349968384,0,624,0,5960,0,20741,28,1994
intel_hsw_imc,20975873,1522500,0,1358,0,0,220,0,666,0,65536,30,85716,0,0,0,0,0,109270,59198357504,0,0,0,0,0,0,0,1349228
intel_hsw_imc,PRE_COUNT_MISS,96,0,18530,0,0,0,0,981,0,3,0,569550,0,0,10609,0,0,676,9151610880,591,0,0,1831,0,0,0,1
intel_hsw_imc,CYCLES,16240,0,98,0,0,2,0,4,1278,0,0,1,0,0,102076,0,0,43,5245108224,0,0,1091196,6871,1223991,0,0,19150
ib_sw,rx_bytes,24876,0,0,0,0,0,309736,0,2741,2,0,8215,0,0,464,10806848,0,37,515694592,23,0,1,628564,3632,0,0,186081
ib_sw,rx_packets,3212,0,33,0,0,0,0,0,66703360,504769,0,81814,0,0,0,0,0,150,937601,0,0,16369,12892,4318,0,0,750
ib_sw,tx_bytes,0,0,0,153942,0,0,4369,0,507,625484,0,322,0,0,36,0,0,0,72,0,0,151661,269640,105603072,20481,0,0
ib_sw,tx_packets,0,0,2,0,0,0,45612,0,3917,625456,0,0,0,0,0,779219,0,1350,24530,0,0,665,269276,920,0,0,29
ps,ctxt,0,0,262144,2096,0,0,249,0,2104,12892,0,30,0,0,0,0,0,0,115680,0,0,0,0,8818,0,0,0
