Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
06:57:14,12748299.0,85712.571,0.0,743061760078.0,1308706018144.75,8110996422637.091,212160661688.25,4204207796561.25,1283670616927.0,910640634957.0,68784293571.25,932728303616.5,1228.364,4769258.5,53872.4,8649602048.0,399920.13,0.0,188755.333,44393.2,33861.2,363578717.571,0.0,13.5,21386.333,14014880.714
07:04:01,60467582.818,1325620.143,0.0,10732391362516.3,21283500535673.246,124214762880825.81,3538031700687.5,63689726184213.0,19845592749411.4,15067860764883.0,1084211981886.0,15346502521097.75,7375.333,54238841.5,1803137.3,8657627904.0,7297170.435,0.078,2377038.667,1470550.7,33874.267,6001370891.0,0.0,13.5,29654.0,69463897.476
07:07:14,12952426.364,94283.857,0.0,796035636118.8,1441003999123.75,8920579821582.455,233509613730.25,4625533547783.0,1412036370606.0,1001735414592.167,75730323012.75,1026995099922.25,1228.364,5100314.5,58495.3,8649552896.0,438833.913,0.0,195743.667,49116.2,33861.2,400376815.286,0.0,13.5,21438.333,14220588.714
07:14:01,60581206.182,1334191.571,0.0,11011573010756.2,21424064217984.5,125018226829827.81,3561371719475.75,64105817455497.0,19973893504425.0,15163221204055.0,1091283275179.75,15447319959219.0,7375.333,54569897.5,1814584.3,8657783808.0,7341796.261,0.078,2393133.333,1481340.9,33874.267,6040450944.0,0.0,13.5,29622.333,69606950.143
07:17:14,13656562.091,102854.857,0.0,842674043962.6,1557479296432.25,9747864341285.637,252532066737.0,5048555468608.0,1540314888730.4,1092169771810.0,81858432216.0,1110593802607.25,2457.758,5751593.5,70288.5,8650371584.0,472283.348,0.0,249100.667,53062.0,6.148914691236551e+18,432780474.143,0.0,13.5,21243.667,15034519.952
07:24:01,60674711.727,1342762.714,0.0,11067867185970.4,21564654259068.246,125821136319309.73,3584832732062.0,64520719544433.75,20102207001115.4,15260004126104.5,1098363724036.25,15548212084635.5,7375.333,54900953.5,1826478.7,8657828352.0,7391618.565,0.078,2410624.667,1492825.3,33874.267,6079472644.143,0.0,13.5,29654.333,69734630.905
07:27:15,13788803.455,111426.286,0.0,897508232656.4,1694418913468.0,10546130584561.092,275655970028.0,5459604568936.0,1668628064017.2,1188728714089.5,88919823493.75,1210174522884.5,2457.758,6082649.5,84563.7,8650229248.0,515132.696,0.0,266492.333,65697.7,3.6893488147419443e+18,472541162.143,0.0,13.5,21353.333,15169288.429
07:34:01,60789083.091,1351334.0,0.0,11124218159923.6,21705386246913.246,126624690941731.64,3608294889044.75,64936115811844.49,20230520852602.8,15356168304216.666,1105450341137.0,15649065755666.25,7375.333,55232009.5,1840670.0,8658012672.0,7434751.696,0.078,2438014.333,1506184.7,33874.267,6118558090.714,0.0,13.5,29676.333,69861727.524
07:37:15,13978763.727,119997.571,0.0,952297295546.6,1831245175899.75,11343899286014.455,298803416174.25,5868929462195.75,1796941876496.2,1286377294703.167,95980983950.75,1309517869472.75,2457.758,6413705.5,98098.2,8650585344.0,551466.957,0.0,279036.0,78445.6,3.6893488147419443e+18,512434264.143,0.0,13.5,21346.667,15429663.286
07:44:01,60893397.364,1359905.286,0.0,11180557077700.4,21846088034438.0,127428205588509.9,3631674210611.5,65351933159307.0,20358835290373.8,15451966902221.666,1112531285688.5,15749929142173.25,7375.333,55563065.5,1855344.9,8657914624.0,7477268.304,0.078,2465724.0,1520550.5,33874.267,6157703941.0,0.0,13.5,29638.333,69986348.095
07:47:15,14061842.545,128569.0,0.0,1007228230791.0,1968426160735.25,12141374271261.637,322048021233.75,6276780236975.75,1925253195088.8,1385478862333.5,103060792407.0,1409038011589.5,2457.758,6744761.5,111109.3,8650503936.0,591109.13,0.0,290179.333,91287.4,3.6893488147419443e+18,552347914.714,0.0,13.5,21426.667,15540848.286
07:54:02,61484747.455,1368476.286,0.0,11234603975303.1,21981065449031.246,128236428516566.45,3654076117325.5,65769725184345.75,20487131264352.2,15546044190533.5,1119312776051.75,15846720194814.5,8604.727,56207833.167,1873224.2,8656696832.0,7522231.826,0.078,2527725.0,1531027.8,6.148914691236551e+18,6195307699.143,0.0,13.5,29480.667,70713999.238
07:57:15,14169133.273,137140.286,0.0,1062141211509.0,2105563055886.5,12938987213261.182,345302770796.0,6683980951646.25,2053564939222.8,1485697943580.0,110153485295.25,1508682190437.5,2457.758,7075817.5,123332.4,8650768128.0,644961.957,0.0,300119.667,103410.6,3.6893488147419443e+18,592088415.714,0.0,13.5,21394.667,15675981.333
